city	City name (CDP)	City name (carbonn)	City name (PKU)	City name (GEA)	City name (UITP)	City name (WB)	Definition (CDP)	Definition (carbonn)	Definition (WB)	Study year (WB)	Reporting year (CDP)	Scope-1 GHG emissions [tCO2 or tCO2-eq]	Scope-1 source dataset	Scope-1 GHG emissions units	Year of emission	Emissions protocol	Gases included (CDP)	Methodology details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Scope-2 (CDP) [tCO2-eq]	Total emissions (CDP) [tCO2-eq]	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean (CDP) [tCO2]	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean (CDP) [tCO2]	Scope fraction (CDP)	CO2 emissions per capita (PKU) [tCO2/capita]	City location (CDP) [degrees]	Latitude (others) [degrees]	Longitude (others) [degrees]	Coordinate source (others)	Country	Region	Population (CDP)	Population year (CDP)	Population (carbonn)	Population year (carbonn)	Urban population (PKU)	Population (GEA)	Population (UITP)	Population (WB)	Population year (WB)	Population (others)	Population year (others)	Population source (others)	Population 1950 (WB)	Population 1990 (WB)	Population 2010 (WB)	Population growth rate 1950-2010 (WB) [people/60years]	Population growth rate 1990-2010 (WB) [people/20years]	Ancillary from GEA+	City area (CDP) [km2]	City area (GEA) [km2]	City area (WB) [km2]	Built-up area (PKU) [km2]	City area (others) [km2]	City area source year (others)	City area source (others)	Population density (GEA) [people/km2]	Population density (UITP) [people/km2]	Population density (WB) [people/km2]	Population/sqrt(area) (GEA) [people/km]	Population/sqrt(area) (WB) [people/km]	Average altitude [m]	Average annual temperature (CDP) [degrees Celsius]	Weather station ID (GEA+)	CDD 23C (GEA+) [degrees C × days]	HDD 15.5C (GEA+) [degrees C × days]	HDD 15.5C (clim) [degrees C × days]	CDD 23C (clim) [degrees C × days]	GDP (CDP) [multiple units]	GDP unit (CDP)	GDP year (CDP)	GDP source (CDP)	GDP (carbonn) [multiple units]	nGDP (carbonn) [multiple units]	GDP unit (carbonn)	GDP year (carbonn)	GDP (PKU) [10000 RMB]	Income per capita (PKU) [RMB/capita]	GDP-PPP (others) [$BN]	GDP-PPP/capita (others) [USD/capita]	GDP-PPP source (others)	GDP-PPP year (others)	nGDP (others) [$BN]	nGDP/capita (others) [USD/capita]	nGDP source (others)	nGDP year (others)	GDP-PPP/capita (GEA) [USD/year]	GDP-PPP/capita (UITP) [USD/year]	GDP-PPP/capita (WB) [USD/year]	Total final consumption per capita (GEA) [GJ/capita/yr]	Energy per capita CO2 (WB) [tCO2-eq/capita/yr]	Diesel price (GEA+) [USD/liter]	Gasoline price (GEA+) [USD/liter]	Center of commerce index (GEA+) [dimensionless]	Household size (GEA+) [people/household]	Household size year (GEA+)	Household source (GEA+)	Household size comment (GEA+)	Urbanization ratio (GEA+) [percent]	Water bounded (GEA+)	Other bounded (GEA+)	Mean one-way travel time (others) [minutes]	Mean one-way travel time year (others)	Mean one-way travel time source (others)	Diesel price 2014 (others) [USD/liter]	Gasoline price 2014 (others) [USD/liter]	Household size (others) [people/household]	Household size year (others)	Household size source (others)	Household size comment (others)	Congestion rank (INRIX) [dimensionless]	Peak hours spent in congestion (INRIX) [hours]	INRIX congestion index (INRIX) [dimensionless]	Average congestion rate (INRIX) [percent]	Congestion rank (TomTom) [dimensionless]	Congestion level (TomTom) [× 100 percent]	Congestion change (TomTom) [× 100 percent]	Morning peak (TomTom) [percent]	Evening peak (TomTom) [percent]	Economy (IESE) [dimensionless]	Environment (IESE) [dimensionless]	Governance (IESE) [dimensionless]	Human capital (IESE) [dimensionless]	International impact (IESE) [dimensionless]	Mobility and transportation (IESE) [dimensionless]	Public management (IESE) [dimensionless]	Social cohesion (IESE) [dimensionless]	Technology (IESE) [dimensionless]	Urban planning (IESE) [dimensionless]	CIMI (IESE) [dimensionless]	CIMI ranking (IESE) [dimensionless]	CIMI performance (IESE) [dimensionless]	Urban area name (UEX)	Low BUA - 1990 (UEX) [km2]	Low BUA - 2000 (UEX) [km2]	Low BUA - 2014 (UEX) [km2]	High BUA - 1990 (UEX) [km2]	High BUA - 2000 (UEX) [km2]	High BUA - 2014 (UEX) [km2]	Low BUA % - 1990 (UEX) [percent]	Low BUA % - 2000 (UEX) [percent]	Low BUA % - 2014 (UEX) [percent]	High BUA % - 1990 (UEX) [percent]	High BUA % - 2000 (UEX) [percent]	High BUA % - 2014 (UEX) [percent]	Low BUA population density - 1990 (UEX) [people/km2]	High BUA population density - 1990 (UEX) [people/km2]	Low BUA population density - 2000 (UEX) [people/km2]	High BUA population density - 2000 (UEX) [people/km2]	Low BUA population density - 2014 (UEX) [people/km2]	High BUA population density - 2014 (UEX) [people/km2]	Exports (others) [m3]	Production (others) [m3]	Natgas Export/Production ratio (others)	CH4_waste/capita (others) [tCH4/capita]	CH4_waste+natgas/capita (others) [tCH4/capita]	Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita]	Year from CIA (others)	AQF (CDP/GEA)	AQF (CDP/WB)	AQF (CDP/OTHERS)	AQF (PKU/GEA)	AQF (PKU/WB)	AQF (PKU/OTHERS)	PQF (CDP)	PQF (carbonn)	PQF (WB)	PQF (WB2010)	PQF (OTHERS)	HQF (GEA+)	HQF (OTHERS)	MethodNum	MethodColour	nGDP category	s1 per cap	S1 per capita
Tucson	City of Tucson						Administrative boundary of a local government				2016	2571089	CDP	tCO2-eq	2012	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	CO2; CH4; N2O		Decreased	More efficient practices plus the impact of the recession	4088012	6659101		A	2041979.70801	2308512.92515	2175246.31658	6129991.70801	6396524.92515	6263258.31658	1		(32.2217, -110.9265)	32.222	-110.926389	https://en.wikipedia.org/wiki/Tucson,_Arizona	USA	North America	529845	2015								530706	2016	https://www.census.gov/quickfacts/fact/table/tucsoncityarizona/PST045216							587.2				587.1766329	2010	https://www.census.gov/quickfacts/fact/table/tucsoncityarizona/PST045216						743	21.6				678	993	35717000	USD     US Dollar	2014	U.S. Bureau of Economic Analysis							41.216	41117	[1]	2014	37	37525.3549696	[19]																	22.4	(2011-2015) 		0.97	0.86	2.45	2011-2015	https://www.census.gov/quickfacts/fact/table/tucsoncityarizona/PST045216		717	10	2	4.0%	138	0.2	0.01	23%	33%														City of Tucson Urban Area	273.5625	293	307.1875	374.3125	422.0625	449.9375	0.4222458036	0.4097543921	0.4057289087	0.5777541964	0.5902456079	0.5942710913	285.267904793	1276.61651986	333.797695108	1340.15796409	349.263439816	1627.14148707	42870000000	766200000000	0.06	0.0176989817	0.0367294791	0.0356646952				1				1				1		1	2	#9ADCB9	1	4.0987784509	4.8446578708
Turku	City of Turku						Administrative boundary of a local government				2016	421200	CDP	tCO2-eq	2013	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2; CH4; N2O	For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), fuels for industry and machinery, road traffic, other traffic, agriculture and waste management.	Stayed the same	Most sectors decreased, but the emission factor for electricity increased in Finland.	686300	1107500		A	139002.498254	145845.679534	142424.088894	825302.498254	832145.679534	828724.088894	1		(60.4518126, 22.2666303)	60.45	22.266667	https://en.wikipedia.org/wiki/Turku	Finland	Europe	186000	2015								186030	2016	https://en.wikipedia.org/wiki/Turku#cite_note-population_count-4							246				245.67	2016	https://en.wikipedia.org/wiki/Turku#cite_note-total_area-1						10	5.5				3678	1	8700000000	USD     US Dollar	2012	Statistics Finland										2008																				18	2008		1.78	1.89	1.8	2014	eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en]		528	15	3.5	8.6%	- 	0.25	0.02	29%	38%														City of Turku Urban Area	47.25	49	52	28.5	29.9375	34.9375	0.6237623762	0.6207442597	0.5981308411	0.3762376238	0.3792557403	0.4018691589	4243.81866952	17602.1730059	748.129069815	5448.84604665	723.652537588	5377.81209819	0	1	0	0.0528714133	0.0541853882	0.0541853882				1				1				1		1	3	#DCCDA1		0.7655974246	2.2641509434
Tuxtla Gutiérrez		City of Tuxtla Gutiérrez						Municipality				1708489	carbonn	tCO2-eq	2010	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		16	-93	carbonn	Mexico	Latin America & Caribbean			553374	2010						598710	2015	Wikipedia											412.4	2015	Wikipedia											0	2919					43345	50426.9704767	USD	2015																													1.02	1.03																											Tuxtla Gutiérrez Urban Area	41	40.5	47.8125	72.375	92.1875	104.25	0.361631753	0.3052284503	0.3144266338	0.638368247	0.6947715497	0.6855733662	1344.82037637	13974.004148	492.726292913	5580.02453282	390.086138812	6492.96257129															1			0			1	#75766D		2.8536169431	2.8536169431
Ubon Ratchathani		Ubonratchathani Municipality						Municipality				421443	carbonn	tCO2-eq	2015	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		15.2283	104.8596	carbonn	Thailand	Southeast Asia			79944	2017						76271	2017	Wikipedia											29	2017	Wikipedia											0	1002					180000	5927.81502219	THB	2016																													0.9	1.29																											Ubon Ratchathani Urban Area	49.3125	59.0625	66.3125	33.5625	41.625	49.125	0.5950226244	0.5865921788	0.574445046	0.4049773756	0.4134078212	0.425554954	1572.2498508	11236.9735052	728.028597939	5885.47968831	617.243977712	4942.40895962															1			1			1	#75766D		5.525599507	5.525599507
Udine	Comune di Udine						Administrative boundary of a local government				2016	438005	CDP	tCO2	2013	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2		Stayed the same	respect to the baseline of 2006 the GHG emissions decreased of 4% in 2013	175583	613588		A							1		(46.0667, 13.2333)	46.067	13.233333	https://en.wikipedia.org/wiki/Udine	Italy	Europe	99528	2013								100514	2012	https://en.wikipedia.org/wiki/Udine							56				56		https://en.wikipedia.org/wiki/Udine						113	13				1605	69														2008																							2.01	2.14	2	2013	eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en]		1004	5	1.1	2.8%																			Comune di Udine Urban Area	35.5	38.125	41.75	60	64.0625	68.8125	0.3717277487	0.373088685	0.3776144715	0.6282722513	0.626911315	0.6223855285	370.250685757	4911.19129246	220.91879334	2077.58927693	220.782223962	2074.82326949	68000000	7800000000	0.01	0.0113831309	0.0151458624	0.0151130591				1				1				1		1	1	#75766D		4.3576516704	4.3576516704
Umeå		Umeå Municipality		Umeå				Municipality				521267	carbonn	tCO2-eq	2013	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		63.8258	20.263	carbonn	Sweden	Europe			120058	2015		110758				84761	2016	Wikipedia						1					32.2	2016	Wikipedia	2140.95251854							ESNU	4	4388	4292	0					4812000000	7258075649.61	EUR	2012											28630.0932399			173.346575417		1.52	1.38		1.99	2011	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (116465/58238)	84.319	1	River to the coast				1.82	1.82																											Umeå Urban Area	15.625	17.1875	19.375	19.6875	20.5	21.5625	0.4424778761	0.456053068	0.4732824427	0.5575221239	0.543946932	0.5267175573	505.812849609	2490.63110644	472.808240179	3591.6107602	498.211035987	3688.54160369															1			1	1		1	#75766D		6.1498448579	6.1498448579
University City, MO	University City, MO						Administrative boundary of a local government				2016	266265	CDP	tCO2-eq	2005	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2; CH4; N2O	Inventory calculated using CACP software using IPCC 1996 Guidelines and US Voluntary Reporting Guidelines. (1996 guidelines not available as an option)	This is our first year of calculation		234882	501147		A	230943.11385	248736.140912	239839.627381	465825.11385	483618.140912	474721.627381	1		(38.6682, -90.3325)	38.664	-90.327778	https://en.wikipedia.org/wiki/University_City,_Missouri	USA	North America	35371	2010								34706	2016	https://www.census.gov/quickfacts/fact/table/universitycitycitymissouri/PST045216							15.3				15.280941	2010	https://www.census.gov/quickfacts/fact/table/universitycitycitymissouri/PST045216						160	13.9				464	73														2008			[20]																	21.2	(2011-2015) 		0.97	0.86	2.18	2011-2015	https://www.census.gov/quickfacts/fact/table/universitycitycitymissouri/PST045216																								see: Saint Louis Urban Area																			42870000000	766200000000	0.06	0.0176989817	0.0367294791	0.0356646952				1				0				0		1	3	#DCCDA1		6.9106099055	7.6720163661
Uppsala		Uppsala Municipality		Uppsala				Municipality				1182401	carbonn	tCO2-eq	2014	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		59.85856	17.638927	carbonn	Sweden	Europe			217000	2017		183308				149245	2015	Wikipedia						1					48.77	2015	Wikipedia	2879							ESSA	22	3364	3294	0					92543000000	15733293571.4	SEK	2014											29958.9161328			90.1314639841		1.52	1.38		2.08	2011	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (200001/96040)	84.319	0					1.82	1.82									- 	0.26	0.03	34%	44%														Uppsala Urban Area	22.0625	27.375	32.625	36.3125	39.6875	45.0625	0.3779443255	0.4082013048	0.4199517297	0.6220556745	0.5917986952	0.5800482703	491.19878096	3620.15776483	349.770539769	3166.5103383	338.866673422	3389.8698821															1			1	1		1	#75766D		7.9225501692	7.9225501692
Valledupar		Municipality of Valledupar						Municipality				1114495	carbonn	tCO2-eq	2013	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		10.4742	-73.2436	carbonn	Colombia	Latin America & Caribbean			453212	2015						423260	2005	Wikipedia											4977.66	2005	Wikipedia											0	1785					6163680000000	2615263845.57	COP	2015							2.6152638456		Carbonn. But according to source (https://colombiareports.com/cesar), we assume reported carbonn units are USD and not COP (and scale to $BN)																				1.04	1.08																											Valledupar Urban Area	8	11	10.1875	18	23.8125	29	0.3076923077	0.315978456	0.2599681021	0.6923076923	0.684021544	0.7400318979	6052.52557843	11690.1438303	1288.34165189	11788.5003499	1499.24264943	13499.7280758															1			0			1	#75766D	1	2.6331214856	2.6331214856
Vancouver	City of Vancouver				Vancouver		Administrative boundary of a local government				2016	2389748	CDP	tCO2-eq	2014	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O	The City has compiled a GPC-compliant inventory for 2014 as a Compact of Mayors signatory.	Decreased	Community LDV emissions have decreased with declining fuel sales within the city. Also, continued increase in landfill gas capture efficiency, coupled with a decrease in overall electricity grid GHG intensity, reduced overall GHG emissions.	52855	2442602		A	1147853.07116	1597900.33557	1372876.70337	1200707.07116	1650754.33557	1425730.70337	1.0000004094		(49.261226, -123.1139268)	49.25	-123.1	https://en.wikipedia.org/wiki/Vancouver	Canada	North America	603500	2011					1898687			600000	2016	http://www.c40.org/cities/vancouver						1	115				115	2016	http://www.c40.org/cities/vancouver		2161				45	11	CYVR			1553	0	83600000000	CAD     Canadian Dollar	2015	Conference Board of Canada (forecast); Vancouver Economic Commission							109.805	44337	[1]	2014	102	42659.9749059	[19]			25793.02				0.9	0.76	51.1	2.6	2006	http://www12.statcan.gc.ca/census-recensement/2006/dp-pd/tbt/Rp-eng.cfm?TABID=1&LANG=E&APATH=3&DETAIL=0&DIM=0&FL=A&FREE=0&GC=001&GID=764018&GK=10&GRP=1&PID=89047&PRID=0&PTYPE=88971,97154&S=0&SHOWALL=0&SUB=0&Temporal=2006&THEME=69&VID=0&VNAMEE=&VNAMEF=&D1=		80.122	1		28.4	2011	2011 census, Table 2 in http://www12.statcan.gc.ca/nhs-enm/2011/as-sa/99-012-x/99-012-x2011003_1-eng.pdf	1.16	1.17	2.8	2011	http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=5915022&Data=Count&SearchText=vancouver&SearchType=Begins&SearchPR=59&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2		157	30	5.3	8.8%	34	0.39	0.05	54%	72%	28	28	3	46	40	68	20	41	66	46	79.7	21	RA	Vancouver Urban Area	272.5	275.1875	275.4375	666.875	693.3125	728.5	0.2900864937	0.284137842	0.2743572185	0.7099135063	0.715862158	0.7256427815	586.62207724	2084.41120341	271.26868217	2454.59220124	253.565299478	3053.65149106	77960000000	151500000000	0.51	0.046860437	0.1017275144	0.0734936045				1				1				1	1	1	1	#75766D	3	2.2881278389	3.9829133333
Venezia	Comune di Venezia						Administrative boundary of a local government				2016	955471	CDP	tCO2	2005	Other	CO2	Our BEI (Baseline Emission Inventory) has been made according to the Covenant of Mayors Guide Lines.	Stayed the same	Our BEI is based on 2005. Unfortunately, we have not a more updated inventory so that's why we consider that our emissions have no change. Next update is scheduled for the end of 2014 and will be liely based on 2012 or 2013.	462872	1418344		A							0.999999295		(45.4332515, 12.3210704)	45.438	12.335833	https://en.wikipedia.org/wiki/Venice	Italy	Europe	263104	2016								260000	2016	http://www.c40.org/cities/venice							414				414	2016	http://www.c40.org/cities/venice						3	13				2402	5	146605000000	EUR     Euro	2012	ISTAT - this data is referred to whole Veneto Region (4881756 inhabitants)							57.289	35190	[1], the number is for Venice-Padova	2014	20.56185	37818.0263194	[24]	2012																			2.01	2.14	2	2013	eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en]																								Comune di Venezia Urban Area	16.3125	17.625	17.4375	23.625	26.125	29.625	0.4084507042	0.4028571429	0.3705179283	0.5915492958	0.5971428571	0.6294820717	232.069943741	2161.91593011	171.973906656	2170.21505726	113.352420807	1740.66119137	68000000	7800000000	0.01	0.0113831309	0.0151458624	0.0151130591				1				0				0		1	5	#F7D76F	1	3.6748884615	3.6748884615
Vilnius	Vilnius City Municipality			Vilnius			Administrative boundary of a local government				2016	1994560	CDP	tCO2-eq	2013	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2; CH4; N2O; PFCs; HFCs	Inventory report is prepared in accordance with the methodology recommended by the Intergovernmental Panel on Climate Change (IPCC) publications: 1. Revised 1996 Guidelines for National Greenhouse Gas Inventories, IPCC, 1997; 2. Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories, IPCC, 2000; 3. 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC, 2006 GHG emissions were calculated from activity levels in the different sectors that are in accordance with the IPCC publications.	Decreased	Increased wooden biomass utilization in Energy sector for the central heating.		1994560	CDP2016 TOT likely wrong because one scope is missing.	E	1329359.41238	1656033.6909	1492696.55164	1329359.41238	1656033.6909	1492696.55164			(54.687156, 25.279651)	54.683	25.283333	https://en.wikipedia.org/wiki/Vilnius	Lithuania	Europe	542626	2015				554000				542664	2015	https://en.wikipedia.org/wiki/Vilnius#cite_note-8						1	401	401			401		https://en.wikipedia.org/wiki/Vilnius	1381.54613466			27665.4397869		98	6.8	EYVI	35	3401	3273	8														2008	14	16489.9882214	[19]		16014.5731541			62.87		1.22	1.13				lithuania		66.635	0		29.39	2014-2017	https://www.numbeo.com/traffic/in/Vilnius [BASED ON 46 CONTRIBUTORS]	1.5	1.57	2.3	2011-2015	eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en]						- 	0.28		48%	67%	83	7	105	64	99	88	135	38	106	72	65.44	71	RA	Vilnius City Municipality Urban Area	51.875	57.625	58.375	56.5625	60.875	65	0.4783861671	0.4862869198	0.4731509625	0.5216138329	0.5137130802	0.5268490375	621.341030971	5851.57456012	1071.78372901	8616.3471048	991.451938671	7875.15673171	0	1	0	0.0222809547	0.0437818384	0.0437818384		1		1				1				1		1	3	#DCCDA1	1	2.7506828381	3.6754971769
Växjö		Växjö Municipality		Växjö				Municipality				285353	carbonn	tCO2-eq	2013	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		56.879	14.805852	carbonn	Sweden	Europe			89500	2016		77363				66275	2017	Wikipedia						1					30.28	2017	Wikipedia	1795.15149119							ESMX	17	3226	3116	1					31075000000	5385766499.38	SEK	2012											28026.0828339			108.478089009		1.52	1.38		2.04	2011	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (83710/40931)	84.319	0					1.82	1.82																											Växjö Urban Area	12.5625	13.25	16.0625	17.625	18.1875	19.125	0.4161490683	0.421471173	0.4564831261	0.5838509317	0.578528827	0.5435168739	270.116332466	1569.45299455	525.247281939	2686.73275935	551.70061892	3055.15961621															1			1	1		1	#75766D		4.3055903433	4.3055903433
Warsaw	City of Warsaw						Administrative boundary of a local government				2016	7930452	CDP	tCO2	2014	Other	CO2	Covenant of Mayors	Decreased	Reduction of CO2 emission was caused by lower consumption of heat and electricity for buildings which may have been caused by investments in thermal retrofitting of buildings, reduction of energy use due to higher social awareness (due to SEAP educational campaigns) and warmer winter.	3791322	11721774		A							1		(52.2296756, 21.0122287)	52.233	21.016667	https://en.wikipedia.org/wiki/Warsaw	Poland	Europe	1626514	2016								1730000	2016	http://www.c40.org/cities/warsaw							517				517	2016	http://www.c40.org/cities/warsaw						103	8				2798	12	30041		2013	Central Statistical Office of Poland							141.096	48681	[1]	2014	82	25434.2431762	[19]																	37.64	2014-2017	https://www.numbeo.com/traffic/in/Warsaw [BASED ON 83 CONTRIBUTORS]	1.39	1.42	2.2	2011	eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en]		115	35	6.4	12.4%	42	0.37	-0.01	65%	72%	95	16	93	59	83	41	142	29	70	6	68.96	54	RA	City of Warsaw Urban Area	281.8125	293.9375	306.375	448.5	479.625	521.375	0.3858793325	0.3799789933	0.3701298701	0.6141206675	0.6200210067	0.6298701299	1871.52796343	10370.4853424	338.953165858	4368.25451698	354.442433351	4231.85221477	45000000	6193000000	0.01	0.0106873801	0.0149019759	0.0148713515				1				1				1		1	5	#F7D76F	2	4.5840763006	4.5840763006
Weifang			Weifang									4319059.23072	PKU	tCO2	2010	Statistical																1.01232		36.7166666667	119.1	wikipedia	China	East Asia					4266496					2044028		wikipedia, urban values										191.9	2646.1		(urban), from wikipedia											2130	233									7973635	35954.39				2008	12	5870.84148728	[19]																				1.09	1.17																											Weifang Urban Area	111.4375	141.4375	178	96.5625	131	207.25	0.5357572115	0.5191557697	0.4620376379	0.4642427885	0.4808442303	0.5379623621	1107.26067164	10202.9358813	884.289622823	8558.20581148	527.354949885	6197.40211222													0								6	#F7D76F	1	2.1130137311	1.01232
Wellington	Wellington City Council				Wellington		Administrative boundary of a local government				2017	621179	CDP	tCO2-eq	2014	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O; HFCs; PFCs; SF6		Decreased	The decrease in emissions we have experienced is largely due to reductions in emissions from stationary energy. This decrease is primarily from a reduction in demand, but also from the increasing proportion of renewable energy generated in New Zealand.	171780	792959	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B	483795.578557	543463.245101	513629.411829	655575.578557	715243.245101	685409.411829	1		(26.661763, -80.268357)	-41.289	174.777222	https://en.wikipedia.org/wiki/Wellington	New Zealand	Oceania	209102	2017					366411			207870	2016	(estimate) Thomas Brinkhoff: City Population, http://www.citypopulation.de/php/newzealand-admin.php?adm1id=047						1	290.1				290.05	2016	Thomas Brinkhoff: City Population, http://www.citypopulation.de/php/newzealand-admin.php?adm1id=047		2198					12.7	NZWN			1204	0	18333000	NZD     New Zealand Dollar	2015	Infometrics										2008						17972.42				0.85	1.09				new zealond		86.052	1		37.7142857143	2014-2015	The New Zealand Attitudes and Values Study, value given in hours/week	1.11	1.71	2.6	2013	2013 census, http://www.stats.govt.nz/Census/2013-census/profile-and-summary-reports/quickstats-about-a-place.aspx?request_value=14322&tabname=Households						- 	0.34	0.04	72%	73%														Wellington City Council Urban Area	21.25	21.25	20.8125	13.8125	14	14.875	0.6060606061	0.6028368794	0.5831873905	0.3939393939	0.3971631206	0.4168126095	312.848437143	1824.41858297	2200.19695549	3827.3439079	2617.5102737	4475.40797028	0	1	0	0.0132737261	0.0234648677	0.0234648677				1				1				1		1	1	#75766D		2.4709164951	2.9883051907
Windhoek		City of Windhoek						Municipality				2829997	carbonn	tCO2-eq	2016	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		-22.5609	17.065755	carbonn	Namibia	Africa			325858							325858	2011	Wikipedia											5133	2011	Wikipedia											292	172					36000	3608.95300103	NAD	2015																													1.12	1.08																											Windhoek Urban Area	31.125	36.9375	36.8125	32.75	67.4375	80.75	0.4872798434	0.3538922156	0.3131313131	0.5127201566	0.6461077844	0.6868686869	1097.52386166	8512.41924421	1153.93604652	2332.97578287	1974.31656809	3755.11208975																		0			1	#75766D		8.6847553229	8.6847553229
Windsor, ON	City of Windsor						Administrative boundary of a local government				2016	2475703	CDP	tCO2-eq	2014	International Emissions Analysis Protocol (ICLEI)	CO2; CH4; N2O			Community emissions have decreased by 382,134 tonnes between 2011 and 2014, and by 1,250,176 tonnes. The largest sources of declines were in Industrial emissions and Commercial and Institutional emissions, respectively, and can likely be credited in no small part to efficiency improvements and the Province's shuttering of goal generation in the grid electricity mix	6709	2482412	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A	2041727.08709	2198994.55626	2120360.82168	2048436.08709	2205703.55626	2127069.82168	1		(42.314937, -83.036363)	42.283	-83	https://en.wikipedia.org/wiki/Windsor,_Ontario	Canada	North America	210891	2011								217188	2016	https://en.wikipedia.org/wiki/Windsor,_Ontario							146.3				146.32	2011	https://en.wikipedia.org/wiki/Windsor,_Ontario#cite_note-SC06-3						190	10.7				1889	34	12065940000	CAD     Canadian Dollar	2014	City Economic Development Planning										2008																				18.8	2011	2011 census, Table 2 in http://www12.statcan.gc.ca/nhs-enm/2011/as-sa/99-012-x/99-012-x2011003_1-eng.pdf	1.16	1.17	2.9	2011	average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=3537039&Data=Count&SearchText=windsor&SearchType=Begins&SearchPR=35&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2]		789	9	1.9	4.4%																			see: Detroit Urban Area																			77960000000	151500000000	0.51	0.046860437	0.1017275144	0.0734936045				1				1				1		1	4	#FFC7AF		9.7627899409	11.3988940457
